mkname,mk001,mk002,mk003,mk004,mk005,mk006,mk007,mk008,mk009,mk010,mk011,mk012,mk013,mk014,mk015,mk016,mk017,mk018,mk019,mk020,mk021,mk022,mk023,mk024,mk025,mk026,mk027,mk028,mk029,mk030,mk031,mk032,mk033,mk034,mk035,mk036,mk037,mk038,mk039,mk040,mk041,mk042,mk043,mk044,mk045,mk046,mk047,mk048,mk049,mk050,mk051,mk052,mk053,mk054,mk055,mk056,mk057,mk058,mk059,mk060,mk061,mk062,mk063,mk064,mk065,mk066,mk067,mk068,mk069,mk070,mk071,mk072,mk073,mk074,mk075,mk076,mk077,mk078,mk079,mk080,mk081,mk082,mk083,mk084,mk085,mk086,mk087,mk088,mk089,mk090,mk091,mk092,mk093,mk094,mk095,mk096,mk097,mk098,mk099,mk100,mk101,mk102,mk103,mk104,mk105,mk106,mk107,mk108,mk109,mk110,mk111,mk112,mk113,mk114,mk115,mk116,mk117,mk118,mk119,mk120,mk121,mk122
G011,-1,-1,0,0,0,0,0.083717291,0,1,1,0,0,0.44115749,1,0.989992805,1,1,1,0,0,0,1,0.946747761,0.954439889,1,1,1,0.958693492,0.978759425,1,1,0,0,0,0,-1,0,0,-0.011138434,0,-1,0,0.019241721,0,0,0,0.022729159,0.039166683,0,0,0,1,1,1,1,-0.767086215,-1,-1,-1,-1,-1,1,0.34242026,-0.006359127,0.012138659,0,0,-1,-1,0,0.007553559,-0.045062024,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-0.096438232,0,-0.043142869,0,0,0.019038465,-0.381488326,-1,0,0,1,1,1,1,0.982906977,1,1,1,1,1,1,1,0,0,0,0,-0.562619322,-1,-1,0,-1,-1,0
G012,0,0.041558026,0,-1,-1,-1,-0.198602109,0,0,0,0,-1,-1,-1,-1,-0.988780771,-1,-0.989000862,-1,0,0,0,0.050231643,0.036434162,0,0,1,0.958693492,0.978759425,1,1,0,0,0,1,1,-1,-1,-0.988689355,-1,0,-1,-1,-1,0,0,0.500901018,0.863148158,1,1,1,1,1,0.450618932,-1,1,1,1,1,1,1,-0.05576315,0.034307464,-0.007460308,0.028339269,0.017297161,0,1,1,1,0.737908045,-0.015616526,1,0,1,1,0,0,1,1,1,0.95441315,1,1,1,1,1,1,-1,-0.259032834,1,-0.072672961,-0.039796946,0.019637996,0.059229056,-0.025588914,0,1,1,0,1,1,1,0.982906977,1,0,0,0,-0.006724019,0,0,0,0,0,0,-0.562619322,-1,-1,0,1,1,1
G013,0,0.023430176,-1,0,0,0,0.083717291,0,0,0,0,0,0.020692952,0,0.390010389,1,0,-0.010775596,0,0,0,1,0.946747761,0.954439889,1,1,1,0.270978058,0.117199426,0,-0.039028342,-0.011915722,0,0,0,0,0,0.176332713,1,0,0,-1,-1,-1,0,0,0,0.018051003,0,0,0,0,-0.006436222,0,0,-0.129220912,0,0,0,0,0,-0.096436446,0.033632854,-0.007272962,0.07877753,0.340594896,1,0,0,0,0.007632463,-0.024317687,1,1,1,1,1,-1,0,1,1,0.628187495,0,0,0,0,0,0,-1,-0.392835405,0,-0.103262948,0.04964355,0.356283209,0.583182072,0.722418175,1,0,0,1,1,1,1,0.568192614,0,0,0,-1,-0.993223971,-1,-1,-1,-1,0,0,1,1,1,1,0,-1,-1
G014,0,0.041558026,0,0,0,0,-1,-1,-1,0,1,1,0.55340286,0,0.009844063,-0.011033869,0,-0.005521206,1,0,0,1,0.946747761,0.954439889,1,1,0,0.038975103,0.020208719,0,-0.028891788,0,0,0,0,0,0,0,1,1,-1,-1,-1,1,0,0,0,0.018051003,0,0,0,1,1,0.707103281,0,-0.129220912,0,0,0,0,1,1,0.3424272,-0.006307497,0.028355403,0.017307008,0,0,0,0,-1,-0.951830543,-1,-1,-1,-1,-1,0,0,1,1,0.95441315,1,1,1,1,1,1,0,-0.154859568,0,-0.129721311,-0.081226865,0.003545429,0.057842097,-0.025606784,0,0,0,0,0,0,0,0.427392073,1,1,1,0,-0.006724019,0,0,0,0,0,0,-0.031163225,0,0,0,0,1,1
G015,0,0.041558026,0,0,0,0,-1,-1,-1,-1,-1,0,0.020692952,0,0.390010389,1,1,1,0,0,-1,0,0.050231643,0.036434162,0,0,0,0.038975103,0.020208719,0,-0.193498598,-1,-1,-1,0,-1,-1,-1,-0.988689355,-1,0,0,0.019241721,0,1,1,1,0.981399239,1,0,-1,-1,-0.977181565,-0.94745264,-1,-0.129220912,0,0,0,0,0,-0.069560371,0.635205528,1,0.987486461,1,1,0,0,1,0.992177354,1,1,1,0,0,0,0,1,0,0,0.359137643,1,1,1,0,0,0,-1,-0.812561326,-1,-0.603357817,-0.42519338,-0.130061022,0.04632705,-0.025755148,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-0.006724019,0,0,-1,0,0,0,-0.031163225,0,0,0,0,1,1
G016,0,0.041558026,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.988780771,-1,-0.989000862,-1,1,1,1,0.379246441,0.275076138,0,0,0,0.038975103,0.020208719,0,-0.028891788,0,0,0,1,1,1,1,1,1,0,0,0.019241721,0,1,0,0,0.018051003,0,0,1,1,-0.0106008,-0.00749586,0,1,1,1,1,1,1,-0.055763187,0.034306073,-0.007543389,0.00626307,-1,0,0,0,0,0.007553559,-0.045062024,0,1,0,0,0,0,0,0,0,0.359137643,1,1,1,1,-1,-1,0,-0.154859568,0,1,1,0.870773462,0.865800762,0.891966951,1,1,0,-1,-1,0,0,0.016792915,0,0,0,1,1,1,1,0,-1,0,0,-0.031163225,0,0,0,0,0,0
G017,0,0.041558026,0,0,0,0,-1,-1,-1,-1,1,1,0.978855736,1,0.989992805,1,1,1,1,-1,1,1,0.946747761,0.954439889,1,0,0,0.716900788,0.877435877,1,1,0,0,0,1,0,0,0,1,1,1,0,0.019241721,0,1,0,-0.580318701,-1,-1,-1,-1,-1,-0.977181565,-0.94745264,-1,1,1,1,1,0,0,-0.607535263,-1,-0.992213758,-1,-1,0,0,0,0,0.00655854,-0.306660143,-1,-1,0,0,1,0,0,0,1,0.95441315,1,1,1,1,1,1,0,1,0,-0.129746248,-0.081350214,0.003212963,0.057346948,-0.043201955,-0.01887627,0,-1,0,0,0,-1,-1,-1,-1,-1,1,1,1,1,0,-1,-1,-1,-0.96778679,-1,-1,-1,1,1,1
G018,0,0.041558026,0,1,1,1,0.246551841,0,1,1,1,1,0.978855736,1,0.989992805,1,1,1,1,0,0,0,0.050231643,0.036434162,0,0,-1,0.020997607,0.012693082,0,-0.028891788,0,0,0,1,1,1,1,-0.005673408,0,1,0,0.010277832,-1,1,1,1,0.981399239,1,1,1,1,1,0.707103281,0,-0.070553026,1,1,1,1,1,1,0.34242026,-0.006359127,0.012138659,0,0,0,-1,-1,-1,-0.951830543,-1,-1,-1,-1,-1,-1,0,0,0,0.043266867,0,0,0,1,0,0,1,1,1,-0.072687848,-0.039915417,0.019300879,0.058722774,-0.04317235,-0.018863335,0,0,0.802518798,1,0.936125825,1,0.568192614,0,1,1,1,-0.228646439,-1,-1,-1,1,1,1,1,1,1,1,0,-1,-1
G019,-1,-1,-1,0,0,0,0.083717291,0,0,0,0,0,0.020692952,0,0.007072858,-0.578278707,-1,-0.989000862,-1,-1,-0.886146764,-1,0.026897098,0.019509082,0,0,0,0.038975103,0.020208719,0,-0.028891788,0,-1,-1,0,0,0,0,-0.011138434,0,-0.335828278,-1,-1,-1,0,0,-0.580318701,-1,-1,-1,-1,-1,-0.977181565,-0.94745264,-1,-0.129220912,0,0,0,0,0,1,0.34242026,-0.006359127,0.012138659,0,0,0,0,-1,-1,-0.678270605,0,0,0,0,0,1,0,0,0,0.043266867,0,1,1,1,0,0,0,1,0,-0.123886221,-0.052364891,0.081337714,0.173699824,0.124466946,0.054383458,0,-1,0,1,0.936125825,1,0.568192614,0,0,0,0,-0.006724019,0,-1,-1,-1,-1,-1,-0.428978135,0,1,1,0,0,0
G020,0.196517101,0.227864113,0,0,0,0,0.128432438,0.050590215,0,1,0,0,0.020692952,0,0.009844063,-0.011033869,0,-0.010775596,0,0,1,-0.271645455,-1,-0.993064959,-1,-0.970906735,-1,-1,-1,-1,-0.969142937,-1,-1,-1,-1,-1,-1,-0.967439872,-0.847714769,-0.804008653,-1,0,0.019241721,0,0,0,0.011628408,0.020037969,-1,-1,-1,-1,-0.875798683,-0.619280122,0,-0.129220912,0,0,0,0,0,-0.09643663,0.033628735,-0.00752386,0.012131622,0,0,-2.78E-17,-2.78E-17,0,0.007539966,-0.048635856,-0.004189448,0,0,0,0,0,0,0,0,0.043266867,0,-1,-0.564666546,0,0,0,0,-0.154859568,0,-0.123886221,-0.052364891,0.081337714,0.173699824,0.124466946,0.054383458,0,0,-1,-1,-0.321142344,0,0.016792915,0,0,0,0,-0.006724019,0,0,0,0,0,1,-0.01616891,0,0,0,0,0,0
G021,-1,-1,-1,-1,0,0,0.083717291,0,0,-1,-0.308764044,0,0.020692952,0,0.009844063,-0.011033869,0,-0.010775596,0,1,1,1,0.237114702,-0.095757307,-1,-1,-1,-1,-1,-1,-0.969142937,-1,-1,-1,0,0,0,0,-0.011138434,0,1,1,0.979616645,1,0,0,0.500901018,0.863148158,1,1,0,0,-0.114998696,-0.337800304,-1,-0.129220912,0,0,1,1,1,1,0.342422463,-0.006342735,0.017287225,-0.281960797,-1,0,0,1,0.992177354,1,1,0.992229629,1,1,-1,-1,-1,0,0,0.043266867,0,0,0,1,1,1,0,1,1,-0.072687848,-0.039915417,0.019300879,0.058722774,-0.04317235,-0.018863335,0,0,0,0,0.614983481,1,0.568192614,0,0,0,0,-0.006724019,0,0,0,-1,-1,-1,-0.96778679,-1,-1,-1,0,0,-1
G022,0,0.041558026,0,0,0,0,0.083717291,0,1,1,0.308764044,0,0,0,0.009844063,-0.011033869,0,-0.010775596,0,-1,-1,-0.853586717,-1,-0.993064959,-1,-1,-1,0.572508141,0.81692795,1,1,1,1,1,-1,-1,-1,-1,-0.988689355,-1,-1,-1,-1,1,-1,-1,-0.318037364,0.023473577,0,0,1,1,1,0.96358763,1,-0.767086215,-1,-1,-1,-1,-1,-0.357740254,0.019144409,-0.715842514,-1,-0.902872378,-1,-1,-1,-1,-1,-0.951830543,-1,-0.867481279,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-0.55111203,-1,-0.512184589,-0.212126762,0.349777212,0.738647309,1,0.963644495,1,1,0,0,0.614983481,1,0.568192614,0,0,0,0,-0.006724019,0,0,0,-1,-1,0,-0.031163225,0,0,0,0,0,0
G023,0,0.183638609,1,1,-1,-1,0.60015119,1,1,1,0.554086631,0.377403377,0.230221464,0,0.007072858,-0.578278707,-1,-0.773403595,0,0,-1,0.086997547,0.671804784,0.755017446,1,1,1,0.958693492,0.978759425,1,1,1,1,1,0,0,1,1,1,1,-1,0,-1,1,-1,0,0.500901018,0.863148158,1,1,1,1,1,0.96358763,1,-0.129220912,0,-1,-1,-1,-1,-0.889268856,-1,-0.992213758,-1,-0.902872378,-1,0,0,0,0.007553559,-0.045062024,0,0,0,0,1,0,0,0,0,0.043266867,0,0,0,-1,-1,-1,0,-0.154859568,0,-0.342001007,-0.459400643,-0.749047736,-1,-0.588676226,0.269502717,1,1,0,1,0.936125825,1,0.960935944,0.946671174,1,1,1,-0.00170266,1,1,1,1,1,1,-0.01616891,0,0,0,0.615130302,1,1
G024,1,0.799809169,0,1,1,1,0.246551841,0,0,1,1,1,0.978855736,1,0.983005368,0.981699227,1,1,1,-1,-1,0,0.014415576,0,0,0,0,0.716900788,0.877435877,1,1,-1,-1,-1,1,0,0,0,1,1,1,0,0.019241721,0,0,0,1,0.146065974,-1,-1,-1,-1,-0.68100961,0,0,-0.767086215,-1,-1,-1,-1,0,-0.607535263,-1,-0.992213758,-1,-1,0,0,0,0.645045378,0.735074778,1,1,1,1,1,1,-1,0,0,0,0.043266867,0,-1,-1,-1,-1,0,1,0.308068135,0,1,1,1,0.9759902,1,1,0,0,0,0,0,0.401240695,0.654163467,1,1,1,1,1,1,1,0,-1,-1,-1,-0.96778679,-1,-1,-1,-1,-1,0
G025,0,0.041558026,0,0,-1,-1,0.050418511,0,0,0,0,0,0.020692952,0,0.009844063,-0.011033869,0,1,1,1,1,0,0.014415576,0,0,0,1,0.958693492,0.978759425,1,1,1,1,0,0,0,0,0,-0.011138434,0,0,0,0.019241721,0,0,-1,-1,0.009357637,0,0,0,0,-0.006436222,0,1,-0.767086215,-1,-1,-1,0,0,-0.096436132,0.033639888,-0.006844464,0.192599552,1,1,0,0,0.050412403,0.057448495,-0.043972641,0,0,0,0,0,1,1,1,1,0.628187495,0,0,0,0,0,0,1,-0.416953346,-1,-0.954253362,-1,-1,-1,-0.972849487,-1,-1,-1,-1,-1,0,1,0.982906977,1,0,0,0,-0.006724019,0,0,0,-1,-1,-1,-0.428978135,0,0,-1,-1,-1,-1
G026,0,0.041558026,0,0,0,0,0.083717291,0,0,1,-1,0,0.020692952,0,0.009844063,-0.011033869,0,-0.005521206,1,0,1,1,0.984922847,1,1,1,0,0.038975103,0.020208719,0,-0.028891788,0,0,0,-1,-1,-1,-1,-0.303256169,0,0,-1,-1,-1,0,1,0,0.018051003,0,0,-1,-1,-0.993509086,-1,1,-0.767086215,-1,1,1,1,1,-0.055763177,0.034306443,-0.007521303,0.012131637,0,1,0,1,1,0.707319231,-0.219679865,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-0.976087887,-1,0,-0.154859568,0,-0.043142869,0,-1,0.011890782,-0.026198839,0,0,0,1,1,0,0,0.016792915,0,0,0,-1,-0.993223971,-1,-1,0,0,0,0,-0.562619322,-1,-1,-1,-1,0,0
G027,0,0.183638609,1,0,0,0,0.083717291,0,0,0,1,0,-1,0,0.009844063,-0.011033869,0,-0.222979048,-1,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-0.969142937,-1,0,0,-1,0,0,0,1,1,1,1,0.979616645,1,-1,0,0,0.018051003,0,0,1,1,0.993487952,1,1,-0.070553026,1,0,0,0,0,-0.09643663,0.033628735,-0.00752386,0.012131622,0,0,0,0,1,0.735877877,-0.029160127,0,0,0,0,0,1,1,1,1,0.95441315,1,1,1,1,1,1,0,1,1,-0.02315655,0,0,0.023113366,-0.026054243,0,0,0,0,0,0,-1,0.008522397,0,0,0,0,-0.006724019,0,0,0,-1,-1,-1,-0.96778679,-1,-1,-1,-1,0,0
G028,0,-1,0,0,1,1,0.246551841,0,0,1,0,-1,-1,0,0.009844063,-0.011033869,0,1,1,0,0,-1,0.00758609,0,0,0,-1,-1,0.001966554,0,-0.028891788,0,0,0,0,-1,-1,-1,-0.988689355,-1,0,0,0.019241721,0,0,1,0,0.739875929,1,1,0,0,-0.006436222,0,0,-0.129220912,0,0,0,0,0,-0.607535263,-1,-0.992213758,-1,0,0,0,0,-1,-1,-0.678270605,0,0,0,0,0,0,0,0,0,0.043266867,0,0,0,1,1,1,1,1,0,-0.043142869,0,0,0.023113366,-0.026054243,0,1,1,-1,-1,-1,-1,-1,0,0,0,0,-0.371720474,-1,-1,-1,0,0,0,-0.016025433,1,1,1,1,0,-1
G029,-1,0.02133325,0,1,1,1,0.246551841,0,-1,-1,-1,0,0.020692952,0,0.009844063,-0.011033869,0,-0.010775596,0,0,1,0,0.014415576,0,0,0,0,0.716900788,0.877435877,1,-0.01471301,0,0,0,-1,-1,0,0,-0.011138434,0,0,-1,-1,0,-1,0,0,0.018051003,0,0,0,0,-0.317143119,-1,-1,1,0,0,0,0,1,1,0.34242026,-0.006359127,0.012138659,0,0,0,0,-1,-1,-0.951830543,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,0,0,0.023113366,-0.026054243,0,0,0,0,0,0,1,0.568192614,0,1,0,-1,-0.993223971,-1,-1,-1,-1,-1,0,-0.031163225,0,0,0,0,0,-1
G030,0,0.183638609,1,1,0,0,0.083717291,0,0,0,-1,0,0.020692952,0,0.009844063,-0.011033869,0,-0.005521206,1,0,0,0,-1,-1,-1,-1,0,0.716900788,0.877435877,1,1,1,1,1,0,0,0,0,1,1,0,0.140194909,0.156232136,0,-1,0,0,0.018051003,0,0,0,0,-0.0032511,1,0,-0.767086215,-1,0,0,0,0,-0.09643663,0.033628735,-0.00752386,0.012131622,0,0,0,0,1,0.735877877,-0.029160127,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-0.090086732,1,-0.02315655,0,0,0.019038465,-0.381488326,-1,-1,-1,0,1,1,1,0.982906977,1,1,1,1,1,1,1,1,0,0,0,-0.031163225,0,0,0,1,1,1
G031,0,0.041558026,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0.0105436,0,0.009844063,-0.011033869,0,-0.010775596,0,0,0,0,0.014415576,0,0,0,0,0.011661402,-1,-1,-0.969142937,-1,-1,-1,-1,0,0,0,-0.011138434,0,1,1,0.979616645,1,0,-1,0,0.018051003,0,0,0,0,-0.317143119,-1,-1,-0.767086215,-1,-1,-1,-1,-1,1,0.963039849,1,0.987486461,1,0,-1,-1,0,-1,-0.678270605,0,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-0.812561326,-1,-0.315131682,0,1,0.9759902,1,1,1,1,1,0.947541271,1,1,0.568192614,0,0,0,0,-0.006724019,0,0,0,1,1,1,1,0,0,0,0,0,0
G032,1,0.799809169,0,0,0,0,0,0,0,-0.490608088,-1,-0.981323884,-1,-1,-1,-0.988780771,-1,-0.773403595,0,-1,-0.886146764,-1,0.747185842,1,1,1,1,0.270978058,0.117199426,0,0,0,0,0,-1,-1,0,0,-0.011138434,0,0,-1,-1,-1,1,0,0,0.018051003,0,0,0,0,-0.314215995,-1,-1,-0.129220912,0,1,1,0.956672072,1,0.487933707,0.310685086,0.237981246,0.212663887,0,0,0,0,1,0.992177354,1,0,0,0,0,0,1,0,0,0,0.043266867,0,0,0,0,1,1,0,-0.311813315,-0.354126655,-0.473509406,-0.487993253,-0.579231609,-0.688761655,-0.795618273,-1,-1,0,0,0,0,0,0.420366102,1,1,1,0.989491652,1,0,0,0,0,0,0,-0.050332902,-0.020293738,0,-1,-0.927325088,-1,-1
G033,0,0.041558026,0,0,0,0,-1,-1,-1,-1,0,0,0.020692952,0,0.390010389,1,1,1,1,-1,0,0,0.014415576,0,0,0,0,0.716900788,0.877435877,1,1,0,0,0,0,0,0,0,-0.693455281,-1,0,0,0.019241721,0,0,1,0,0.00913696,-1,-1,-1,-1,-0.993509086,-1,-1,1,1,1,1,0,0,1,0.963039849,1,0.987486461,1,0,0,0,1,0.992177354,1,1,1,0,0,0,-1,0,0,0,0.359137643,1,0,0,0,0,0,1,-0.096438232,0,1,1,1,0.9759902,1,1,1,1,0,0,0,0,0.016792915,0,0,0,0,-0.006724019,0,0,-1,0,0,0,1,1,1,1,1,0,-1
